site	abundance	depth_m	year	period	x_coord	y_coord	area
126	64	4222	1982	1	-72.13724821	-48.19806574	98830
127	26	4226	2002	2	-90.60525211	-38.18769824	112695.8359
128	2	4242	1981	1	-78.17536143	-50.0518375	135490
129	56	4245	1982	1	-83.90125206	-31.51411991	97230
130	47	4292	1980	1	-119.6119313	-20.39148935	92450
131	31	4298	2001	2	-100.1776926	-51.6275435	66291.67188
132	4	4320	1982	1	-108.1689273	-46.34429398	79920
133	23	4375	1980	1	-112.860617	-40.7829787	79700
134	26	4565	1984	1	-429.8221529	-496.8108315	103600
135	10	4765	2002	2	-175.4220352	-63.39899417	71237.03125
136	35	4787	1979	1	-186.3374168	-12.97640231	91770
137	105	4800	1984	1	-178.180201	-248.4054157	105200
138	12	4810	2002	2	-240.6486394	-116.0461121	154323.0313
139	7	4811	2002	2	-226.2229457	-120.4951644	103096.8047
140	4	4812	2002	2	-272.4072996	-148.3017407	150707.4688
141	10	4812	2002	2	-261.4873989	-142.5550483	115983.8984
142	20	4840	2000	2	-275.2878982	-123.3499729	128274.3828
143	13	4842	1986	1	-215.8402009	-126.0564796	159400
144	24	4846	1989	1	-259.1226501	-139.0328819	90900
145	38	4846	1989	1	-255.2863104	-135.3253384	138700
146	29	4865	1989	1	-248.7649773	-126.0564796	133900
